Catégorie;Numéro;Nom;Race;Sexe;Description;Background;Prompt
Taverne;1;Liora "Chantelune";Elfe;Femme;Une elfe charismatique aux cheveux dorés flottants, portant des vêtements colorés et élaborés, tenant un luth.;Voyage de ville en ville, racontant des histoires et chantant des ballades. Cherche à découvrir de nouvelles légendes.;D&D character design, a charismatic elven bard with flowing golden hair, wearing colorful and elaborate clothing, holding a lute
Taverne;2;Clara "La Chaleureuse";Humaine;Femme;Une serveuse au sourire amical, portant un tablier simple sur une robe rustique.;Connaît tous les secrets des clients réguliers. Utilise ses informations pour aider ceux qui en ont besoin.;D&D character design, a warm-hearted human barmaid with a friendly smile, wearing a simple apron over a rustic dress, serving drinks to patrons in a cozy, medieval-style tavern with wooden beams and flickering lanterns
Marché;1;Marcus "L'Astucieux";Humain;Homme;Un marchand rusé avec un sourire malicieux, portant des robes de soie fine.;Connu pour ses talents de négociateur et ses produits rares. Cherche à étendre son réseau commercial.;D&D character design, a cunning human merchant with a sly smile, wearing fine silk robes
Marché;2;Flick "Les Doigts Agiles";Halfelin;Homme;Un halfelin agile avec des mains rapides, portant des vêtements simples.;Utilise ses compétences pour survivre dans les rues. Rêve de réaliser un gros coup pour quitter cette vie.;D&D character design, a nimble halfling pickpocket with quick hands, wearing plain, earthy-toned clothes, sneaking through a bustling, medieval-style marketplace with wooden stalls and colorful canopies
Lieu Malfamé;1;Drago "Le Sans-Pitié";Humain;Homme;Un criminel au visage dur, portant une armure de cuir usée.;Respecté pour sa brutalité et son efficacité. Cherche à étendre son territoire tout en évitant les autorités.;D&D character design, a hard-faced human criminal, wearing worn leather armor
Lieu Malfamé;2;Grit "L'Ombre";Gnome;Homme;Un gnome discret avec des yeux perçants, portant une cape à capuche.;Vend des informations précieuses aux plus offrants. Rêve de découvrir un secret qui pourrait changer le destin de la ville.;D&D character design, a discreet gnome informant with keen eyes, wearing a hooded cloak, whispering secrets in a shadowy corner of a medieval alley with stone walls and dim torchlight
Rue/Place Publique;1;Léon "Le Peintre";Humain;Homme;Un artiste talentueux avec un béret, peignant un portrait vivant.;Utilise son art pour capturer la beauté et les émotions des gens. Rêve de voir ses œuvres exposées dans une grande galerie.;D&D character design, a talented human street artist with a beret, painting a vivid portrait on a bustling, medieval-style street corner with cobblestone paths and timber-framed houses
Rue/Place Publique;2;Éloïse "La Fervente";Humaine;Femme;Une prêcheuse passionnée avec des yeux ardents, portant des robes simples.;Prêche les enseignements de sa foi avec ferveur. Cherche à guider les âmes perdues vers la lumière.;D&D character design, a passionate human preacher with fiery eyes, wearing simple robes
Forêt/Nature;1;Théo "Le Traqueur";Humain;Homme;Un chasseur robuste avec un visage marqué par les intempéries, portant un camouflage forestier et tenant un arc.;Connaît les secrets de la forêt. Utilise ses compétences pour traquer le gibier et protéger les bois.;D&D character design, a rugged human hunter with a weathered face, wearing forest camouflage made of leather and fur, holding a bow in a dense, mystical forest with towering trees and dappled sunlight
Forêt/Nature;2;Elowen "L'Harmonieuse";Elfe;Femme;Une druidesse sereine avec une aura mystique, portant des robes ornées de feuilles.;En harmonie avec la nature. Protège les bois sacrés et cherche à préserver l'équilibre naturel.;D&D character design, a serene elven druid with a mystical aura, wearing robes adorned with leaves
Bibliothèque Ancienne;1;Alaric "Le Sage";Humain;Homme;Un érudit studieux avec des lunettes, portant une robe simple, entouré de manuscrits anciens.;Passe ses journées à étudier des textes anciens. Cherche des informations sur un artefact perdu pour sauver son village.;D&D character design, a studious human scholar with glasses, wearing a simple robe, surrounded by ancient manuscripts in a dimly lit, ancient library
Bibliothèque Ancienne;2;Bronson "Le Vigilant";Nain;Homme;Un nain robuste avec une barbe épaisse, portant une armure légère et une hache à la ceinture.;Protège les ouvrages précieux avec une détermination farouche. Empêche un groupe de voleurs de s'emparer d'un grimoire magique.;D&D character design, a sturdy dwarf guardian with a thick beard, wearing light armor and a battle axe, standing guard in an ancient library filled with precious tomes
Temple/Église;1;Élodie "La Bienveillante";Humaine;Femme;Une prêtresse dévouée avec des yeux bienveillants, portant des robes sacrées.;Guide les fidèles et offre des conseils spirituels. Cherche à apporter la lumière et l'espoir à ceux qui en ont besoin.;D&D character design, a devoted human priestess with kind eyes, wearing sacred robes, standing in a serene temple surrounded by worshippers
Temple/Église;2;Tao "L'Ascète";Humain;Homme;Un moine ascétique avec une tête rasée, portant des vêtements simples.;Vit une vie de contemplation et de prière. Cherche à atteindre l'illumination spirituelle à travers la méditation et le service.;D&D character design, an ascetic human monk with a shaved head, wearing simple robes, meditating in a tranquil temple garden
Port/Quai;1;Morgan "Le Navigateur";Humain;Homme;Un capitaine expérimenté avec une barbe bien taillée, portant un manteau de marin et un tricorne.;Navigue les mers à la recherche de trésors et d'aventures. Rêve de découvrir des terres inexplorées.;D&D character design, an experienced human captain with a neatly trimmed beard, wearing a sailor's coat and tricorne hat, standing on the deck of a ship at sea
Port/Quai;2;Rigel "L'Insaisissable";Halfelin;Homme;Un contrebandier rusé avec des yeux vifs, portant des vêtements discrets et un bandana.;Fait passer des marchandises illégales à travers les ports. Rêve de réaliser un dernier gros coup avant de se retirer.;D&D character design, a cunning halfling smuggler with quick eyes, wearing nondescript clothes and a bandana, sneaking through a bustling port with crates of contraband
Château/Palais;1;Isolde "La Gracieuse";Humaine;Femme;Une noble dame élégante, portant une tenue raffinée et des bijoux délicats.;Navigue dans les intrigues de la cour avec grâce et intelligence. Cherche à renforcer les alliances de sa famille.;D&D character design, an elegant human noblewoman wearing refined attire and delicate jewelry, standing in a grand palace ballroom
Château/Palais;2;Eamon "Le Stratège";Elfe;Homme;Un conseiller stratège avec des yeux perçants, portant des vêtements sophistiqués.;Murmure des conseils à l'oreille du roi. Cherche à maintenir la paix et la prospérité du royaume.;D&D character design, an elf advisor with keen eyes, wearing sophisticated attire, whispering advice to the king in a royal court setting
Guilde/Atelier;1;Dagmar "Le Maître du Feu";Nain;Homme;Un forgeron robuste avec une barbe épaisse, portant un tablier de cuir et des gants.;Crée des armes et des armures légendaires. Cherche à perfectionner son art et à transmettre son savoir.;D&D character design, a sturdy dwarf blacksmith with a thick beard, wearing a leather apron and gloves, hammering a glowing piece of metal in a fiery forge
Guilde/Atelier;2;Lira "La Potioniste";Gnome;Femme;Une alchimiste ingénieuse avec des lunettes de protection, portant une blouse tachée de diverses couleurs.;Expérimente avec des potions et des élixirs. Cherche à découvrir des formules magiques pour aider les aventuriers.;D&D character design, a clever gnome alchemist with protective goggles, wearing a stained lab coat, mixing colorful liquids in a cluttered workshop
Taverne;3;Aelar "Le Chanteur";Humain;Homme;Un chanteur charismatique avec une voix envoûtante, portant des vêtements de voyage usés.;A voyagé à travers les terres, partageant des chansons de héros et de légendes. Cherche à inspirer les autres avec ses mélodies.;D&D character design, a charismatic human singer with an enchanting voice, wearing worn travel clothes, performing in a bustling tavern.
Taverne;4;Brianna "La Serveuse";Halfeline;Femme;Une serveuse agile avec un sourire chaleureux, portant un tablier sur une robe simple.;Connaît tous les ragots de la ville et utilise ses informations pour aider ceux dans le besoin.;D&D character design, an agile halfling barmaid with a warm smile, wearing an apron over a simple dress, serving drinks in a lively tavern.
Taverne;5;Caelan "Le Conteur";Elfe;Homme;Un conteur avec une présence captivante, portant des vêtements élégants et colorés.;Raconte des histoires de héros et de légendes oubliées. Cherche à inspirer les autres avec ses récits.;D&D character design, an elven storyteller with a captivating presence, wearing elegant and colorful clothing, telling tales in a bustling tavern.
Taverne;6;Darian "Le Barde";Humain;Homme;Un barde talentueux avec une voix mélodieuse, portant des vêtements de voyage.;Voyage de ville en ville, chantant des ballades et racontant des histoires. Cherche à découvrir de nouvelles légendes.;D&D character design, a talented human bard with a melodious voice, wearing travel clothes, performing in a lively tavern.
Taverne;7;Eira "La Danseuse";Elfe;Femme;Une danseuse gracieuse avec des mouvements fluides, portant des vêtements colorés et élaborés.;Danse dans les tavernes, captivant le public avec ses mouvements. Cherche à apporter de la joie et de l'inspiration.;D&D character design, a graceful elven dancer with fluid movements, wearing colorful and elaborate clothing, performing in a bustling tavern.
Taverne;8;Finn "Le Musicien";Humain;Homme;Un musicien talentueux avec une maîtrise de plusieurs instruments, portant des vêtements simples.;Joue de la musique dans les tavernes, créant une ambiance chaleureuse. Cherche à partager sa passion pour la musique.;D&D character design, a talented human musician with mastery of several instruments, wearing simple clothes, playing music in a cozy tavern.
Taverne;9;Gwendolyn "L'Hôtesse";Humaine;Femme;Une hôtesse accueillante avec un sourire chaleureux, portant une robe simple mais élégante.;Accueille les clients avec chaleur et hospitalité. Cherche à créer une atmosphère conviviale dans la taverne.;D&D character design, a welcoming human hostess with a warm smile, wearing a simple yet elegant dress, greeting patrons in a cozy tavern.
Taverne;10;Hector "Le Cuisinier";Humain;Homme;Un cuisinier talentueux avec un tablier taché, portant des vêtements simples.;Prépare des plats délicieux pour les clients de la taverne. Cherche à satisfaire les papilles gustatives de chacun.;D&D character design, a talented human cook with a stained apron, wearing simple clothes, cooking delicious meals in a bustling tavern kitchen.
Marché;3;Isolde "La Marchande";Humaine;Femme;Une marchande avisée avec des yeux perçants, portant des robes de soie.;Vend des objets rares et des artefacts magiques. Cherche à étendre son réseau commercial.;D&D character design, a shrewd human merchant with keen eyes, wearing silk robes, standing behind a stall filled with rare and magical items.
Marché;4;Jasper "Le Négociateur";Humain;Homme;Un négociateur rusé avec un sourire malicieux, portant des vêtements de voyage.;Utilise ses compétences pour obtenir les meilleurs prix. Cherche à étendre son réseau commercial.;D&D character design, a cunning human negotiator with a sly smile, wearing travel clothes, haggling in a bustling market.
Marché;5;Kael "Le Vendeur";Halfelin;Homme;Un vendeur agile avec des mains rapides, portant des vêtements simples.;Vend des marchandises variées dans le marché. Cherche à faire des affaires profitables.;D&D character design, an agile halfling vendor with quick hands, wearing simple clothes, selling various goods in a bustling market.
Marché;6;Lira "L'Artisane";Gnome;Femme;Une artisane talentueuse avec des outils à la ceinture, portant des vêtements de travail.;Crée des objets artisanaux uniques. Cherche à partager son art avec le monde.;D&D character design, a talented gnome artisan with tools at her belt, wearing work clothes, selling unique handcrafted items in a bustling market.
Marché;7;Maelis "La Tisserande";Elfe;Femme;Une tisserande habile avec des doigts agiles, portant des vêtements simples.;Crée des tissus et des vêtements de haute qualité. Cherche à promouvoir l'artisanat local.;D&D character design, a skilled elven weaver with agile fingers, wearing simple clothes, selling high-quality fabrics and clothing in a bustling market.
Marché;8;Nolan "Le Forgeron";Nain;Homme;Un forgeron robuste avec une barbe épaisse, portant un tablier de cuir.;Forge des armes et des armures de haute qualité. Cherche à protéger les habitants de la ville.;D&D character design, a sturdy dwarf blacksmith with a thick beard, wearing a leather apron, selling high-quality weapons and armor in a bustling market.
Marché;9;Orion "Le Joaillier";Humain;Homme;Un joaillier talentueux avec des outils précis, portant des vêtements élégants.;Crée des bijoux et des ornements précieux. Cherche à capturer la beauté du monde.;D&D character design, a talented human jeweler with precise tools, wearing elegant clothes, selling precious jewelry and ornaments in a bustling market.
Marché;10;Phoebe "L'Herboriste";Humaine;Femme;Une herboriste avec des connaissances approfondies des plantes, portant des vêtements simples.;Vend des herbes médicinales et des remèdes naturels. Cherche à aider les gens avec ses connaissances.;D&D character design, a knowledgeable human herbalist with deep knowledge of plants, wearing simple clothes, selling medicinal herbs and natural remedies in a bustling market.
Lieu Malfamé;3;Quentin "Le Voleur";Humain;Homme;Un voleur rusé avec des yeux vifs, portant des vêtements discrets.;Utilise ses compétences pour dérober des objets de valeur. Cherche à financer un orphelinat local.;D&D character design, a cunning human thief with quick eyes, wearing nondescript clothes, sneaking through the shadows of a medieval alley.
Lieu Malfamé;4;Rhys "L'Espion";Elfe;Homme;Un espion discret avec des mouvements silencieux, portant des vêtements sombres.;Collecte des informations secrètes pour ses clients. Cherche à protéger les opprimés.;D&D character design, a discreet elven spy with silent movements, wearing dark clothes, gathering secret information in the shadows of a medieval city.
Lieu Malfamé;5;Selene "La Contrebandière";Humaine;Femme;Une contrebandière rusée avec des yeux perçants, portant des vêtements discrets.;Fait passer des marchandises illégales à travers les ports. Cherche à soutenir une rébellion contre un tyran.;D&D character design, a cunning human smuggler with keen eyes, wearing nondescript clothes, sneaking contraband through a bustling port.
Lieu Malfamé;6;Thorne "Le Mercenaire";Humain;Homme;Un mercenaire robuste avec une armure de cuir usée.;Offre ses services pour des missions dangereuses. Cherche à protéger les habitants d'un village menacé.;D&D character design, a rugged human mercenary with worn leather armor, standing guard in a shadowy alley, ready for dangerous missions.
Lieu Malfamé;7;Uther "Le Falsificateur";Humain;Homme;Un falsificateur habile avec des outils précis, portant des vêtements simples.;Crée des documents et des objets contrefaits. Cherche à exposer la corruption au sein du gouvernement.;D&D character design, a skilled human forger with precise tools, wearing simple clothes, creating counterfeit documents and items in a dimly lit workshop.
Lieu Malfamé;8;Vera "La Pickpocket";Halfeline;Femme;Une pickpocket agile avec des mains rapides, portant des vêtements discrets.;Vole des objets de valeur dans les rues bondées. Cherche à redistribuer les richesses aux pauvres.;D&D character design, a nimble halfling pickpocket with quick hands, wearing nondescript clothes, sneaking through a crowded marketplace.
Lieu Malfamé;9;Wren "L'Assassin";Elfe;Homme;Un assassin silencieux avec des mouvements furtifs, portant des vêtements sombres.;Élimine des cibles pour ses clients. Cherche à venger la mort de sa famille.;D&D character design, a silent elven assassin with stealthy movements, wearing dark clothes, stalking targets in the shadows of a medieval city.
Lieu Malfamé;10;Xander "Le Chantageur";Humain;Homme;Un chantageur rusé avec un sourire malicieux, portant des vêtements élégants.;Utilise des informations compromettantes pour faire chanter ses victimes. Cherche à financer une expédition archéologique.;D&D character design, a cunning human blackmailer with a sly smile, wearing elegant clothes, negotiating in a dimly lit tavern.
Forêt/Nature;3;Aelar "Le Rôdeur";Humain;Homme;Un rôdeur agile avec un arc, portant des vêtements de camouflage.;Patrouille dans la forêt pour protéger les habitants. Cherche à préserver l'équilibre naturel.;D&D character design, an agile human ranger with a bow, wearing camouflage clothes, patrolling a dense forest.
Forêt/Nature;4;Brianna "L'Herboriste";Halfeline;Femme;Une herboriste avec un sac rempli de plantes, portant des vêtements simples.;Collecte des plantes médicinales dans la forêt. Cherche à soigner les malades avec des remèdes naturels.;D&D character design, a halfling herbalist with a bag full of plants, wearing simple clothes, gathering medicinal herbs in a lush forest.
Forêt/Nature;5;Caelan "Le Chasseur de Primes";Elfe;Homme;Un chasseur de primes avec une épée, portant des vêtements de cuir.;Traque les criminels dans la forêt. Cherche à ramener la justice dans la région.;D&D character design, an elven bounty hunter with a sword, wearing leather clothes, tracking criminals in a dense forest.
Forêt/Nature;6;Darian "Le Garde-Chasse";Humain;Homme;Un garde-chasse avec un fusil, portant des vêtements de camouflage.;Surveille la faune et la flore de la forêt. Cherche à protéger les espèces menacées.;D&D character design, a human game warden with a rifle, wearing camouflage clothes, monitoring wildlife in a dense forest.
Forêt/Nature;7;Eira "La Gardienne des Arbres";Elfe;Femme;Une gardienne des arbres avec un bâton, portant des vêtements ornés de feuilles.;Veille sur les arbres anciens de la forêt. Cherche à préserver la magie de la nature.;D&D character design, an elven tree guardian with a staff, wearing clothes adorned with leaves, watching over ancient trees in a mystical forest.
Forêt/Nature;8;Finn "Le Pêcheur";Humain;Homme;Un pêcheur avec une canne à pêche, portant des vêtements simples.;Pêche dans les rivières de la forêt. Cherche à nourrir sa famille avec ses prises.;D&D character design, a human fisherman with a fishing rod, wearing simple clothes, fishing in a tranquil forest river.
Forêt/Nature;9;Gwendolyn "La Naturaliste";Humaine;Femme;Une naturaliste avec un carnet de notes, portant des vêtements pratiques.;Étudie la flore et la faune de la forêt. Cherche à documenter les espèces rares.;D&D character design, a human naturalist with a notebook, wearing practical clothes, studying flora and fauna in a dense forest.
Forêt/Nature;10;Hector "Le Bûcheron";Humain;Homme;Un bûcheron robuste avec une hache, portant des vêtements de travail.;Coupe du bois dans la forêt. Cherche à fournir du bois de chauffage aux villageois.;D&D character design, a robust human lumberjack with an axe, wearing work clothes, chopping wood in a dense forest.
Rue/Place Publique;3;Aelar "Le Ménestrel";Humain;Homme;Un ménestrel talentueux avec une lyre, portant des vêtements colorés.;Joue de la musique et raconte des histoires dans les rues. Cherche à apporter de la joie aux passants tout en espérant secrètement être découvert par un noble mécène.;D&D character design, a talented human minstrel with a lyre, wearing colorful clothes, performing in a bustling street with a hopeful gleam in his eyes.
Rue/Place Publique;4;Brianna "La Colporteuse";Halfeline;Femme;Une colporteuse avec un panier rempli de marchandises, portant des vêtements simples.;Vend des objets utiles et des babioles dans les rues. Cherche à économiser assez pour ouvrir sa propre boutique et prouver à sa famille qu'elle peut réussir.;D&D character design, a halfling peddler with a basket full of goods, wearing simple clothes, selling wares in a busy street with determination.
Rue/Place Publique;5;Caelan "Le Jongleur";Elfe;Homme;Un jongleur agile avec des balles colorées, portant des vêtements légers.;Effectue des numéros de jonglage pour divertir les passants. Cherche à impressionner une mystérieuse inconnue qui lui a lancé un défi.;D&D character design, an agile elven juggler with colorful balls, wearing light clothes, performing tricks in a bustling street with a hint of mystery.
Rue/Place Publique;6;Darian "Le Crieur";Humain;Homme;Un crieur public avec une voix puissante, portant des vêtements simples.;Annonce les nouvelles et les proclamations dans les rues. Cherche à utiliser sa position pour révéler les injustices de la ville.;D&D character design, a human town crier with a powerful voice, wearing simple clothes, announcing news in a crowded street with a sense of purpose.
Rue/Place Publique;7;Eira "La Mendiante";Elfe;Femme;Une mendiante avec un regard triste, portant des vêtements usés.;Demande l'aumône pour survivre dans les rues. Cherche à retrouver sa famille perdue depuis longtemps.;D&D character design, an elven beggar with a sad gaze, wearing worn clothes, asking for alms in a busy street with a glimmer of hope.
Rue/Place Publique;8;Finn "Le Montreur d'Ours";Humain;Homme;Un montreur d'ours avec un ours apprivoisé, portant des vêtements rustiques.;Montre des tours avec son ours pour divertir les passants. Cherche à gagner suffisamment pour offrir une meilleure vie à son ours bien-aimé.;D&D character design, a human bear handler with a tame bear, wearing rustic clothes, performing tricks in a bustling street with affection.
Rue/Place Publique;9;Gwendolyn "La Diseuse de Bonne Aventure";Humaine;Femme;Une diseuse de bonne aventure avec une boule de cristal, portant des vêtements mystiques.;Prédit l'avenir pour les passants curieux. Cherche à découvrir le secret de sa propre destinée.;D&D character design, a human fortune teller with a crystal ball, wearing mystical clothes, predicting futures in a busy street with intrigue.
Rue/Place Publique;10;Hector "Le Saltimbanque";Humain;Homme;Un saltimbanque avec des talents variés, portant des vêtements colorés.;Effectue des acrobaties et des tours pour divertir les passants. Cherche à impressionner une dame noble dont il est secrètement amoureux.;D&D character design, a human street performer with varied talents, wearing colorful clothes, performing acrobatics in a bustling street with hidden affection.
Bibliothèque Ancienne;3;Thalia "La Chroniqueuse";Humaine;Femme;Une chroniqueuse méticuleuse avec des lunettes, portant une robe simple.;Documente les événements historiques de la région. Cherche à préserver les récits oubliés pour les générations futures, en particulier ceux concernant une ancienne guerre oubliée.;D&D character design, a meticulous human chronicler with glasses, wearing a simple robe, surrounded by ancient manuscripts in a dimly lit library.
Bibliothèque Ancienne;4;Eldred "L'Archiviste";Halfelin;Homme;Un archiviste organisé avec un sens aigu du détail, portant des vêtements pratiques.;Classe et organise les manuscrits anciens. Cherche à découvrir des secrets cachés dans les archives royales concernant une ancienne prophétie sur la chute du royaume.;D&D character design, an organized halfling archivist with a keen eye for detail, wearing practical clothes, sorting ancient manuscripts in a dusty archive.
Bibliothèque Ancienne;5;Lysandra "La Traductrice";Elfe;Femme;Une traductrice talentueuse avec une plume à la main, portant des vêtements élégants.;Traduit des textes anciens en langues modernes. Cherche à rendre les connaissances anciennes accessibles à tous, notamment un traité perdu sur la magie des éléments.;D&D character design, a talented elven translator with a quill in hand, wearing elegant clothes, translating ancient texts in a quiet library.
Bibliothèque Ancienne;6;Gareth "Le Rechercheur";Humain;Homme;Un chercheur dévoué avec une pile de livres, portant des vêtements simples.;Étudie les textes anciens pour découvrir des vérités perdues. Cherche à résoudre le mystère de la disparition de son arrière-grand-père, un explorateur légendaire qui aurait découvert une cité perdue.;D&D character design, a devoted human researcher with a stack of books, wearing simple clothes, studying ancient texts in a dimly lit library.
Bibliothèque Ancienne;7;Mirella "La Copiste";Elfe;Femme;Une copiste habile avec une plume et un encrier, portant des vêtements sobres.;Copie des manuscrits anciens pour les préserver. Cherche à transmettre les savoirs anciens aux nouvelles générations, en particulier les enseignements d'un sage oublié.;D&D character design, a skilled elven scribe with a quill and inkwell, wearing sober clothes, copying ancient manuscripts in a quiet scriptorium.
Bibliothèque Ancienne;8;Oswald "Le Bibliothécaire";Humain;Homme;Un bibliothécaire vigilant avec un trousseau de clés, portant des vêtements simples.;Veille sur les ouvrages précieux de la bibliothèque. Cherche à protéger un grimoire ancien contenant des sorts puissants, convoité par des mages malveillants.;D&D character design, a vigilant human librarian with a set of keys, wearing simple clothes, guarding precious tomes in an ancient library.
Bibliothèque Ancienne;9;Cassandra "L'Érudite";Humaine;Femme;Une érudite passionnée avec des lunettes, portant une robe simple.;Étudie les textes anciens pour comprendre les mystères du passé. Cherche à découvrir l'origine d'un artefact mystérieux qui semble réagir à la présence de magie.;D&D character design, a passionate human scholar with glasses, wearing a simple robe, studying ancient texts in a dimly lit library.
Bibliothèque Ancienne;10;Benedict "Le Conservateur";Humain;Homme;Un conservateur dévoué avec des outils de restauration, portant des vêtements de travail.;Restaure les manuscrits anciens endommagés. Cherche à préserver l'héritage culturel de la région, notamment un parchemin déchiré décrivant un rituel ancien.;D&D character design, a devoted human conservator with restoration tools, wearing work clothes, restoring damaged manuscripts in a quiet workshop.
Temple/Église;3;Leonard "Le Prêtre";Humain;Homme;Un prêtre dévoué avec des robes sacrées, portant un symbole divin.;Guide les fidèles dans leur foi. Cherche à apporter la paix et la guérison à ceux qui en ont besoin, en particulier les victimes d'une récente épidémie.;D&D character design, a devoted human priest with sacred robes, wearing a divine symbol, guiding worshippers in a serene temple.
Temple/Église;4;Sister Amelia "La Nonne";Halfeline;Femme;Une nonne dévouée avec un voile, portant des robes simples.;Aide les pauvres et les malades dans la communauté. Cherche à incarner la compassion et la charité, tout en enquêtant sur des disparitions mystérieuses au monastère.;D&D character design, a devoted halfling nun with a veil, wearing simple robes, aiding the poor and sick in a peaceful monastery.
Temple/Église;5;Brother Eamon "Le Moine";Elfe;Homme;Un moine ascétique avec une tête rasée, portant des vêtements simples.;Vit une vie de contemplation et de prière. Cherche à atteindre l'illumination spirituelle pour comprendre la signification des visions prophétiques qui le hantent chaque nuit.;D&D character design, an ascetic elven monk with a shaved head, wearing simple clothes, meditating in a tranquil temple garden.
Temple/Église;6;Darian "Le Confesseur";Humain;Homme;Un confesseur attentif avec une expression bienveillante, portant des robes sacrées.;Écoute les confessions des fidèles. Cherche à guider les âmes perdues vers la rédemption, tout en essayant de résoudre un mystère de meurtre au sein de l'église.;D&D character design, an attentive human confessor with a kind expression, wearing sacred robes, listening to confessions in a quiet chapel.
Temple/Église;7;Eira "La Chanteuse Sacrée";Elfe;Femme;Une chanteuse sacrée avec une voix mélodieuse, portant des robes sacrées.;Chante des hymnes sacrés lors des cérémonies. Cherche à apaiser les âmes troublées par des chants anciens, tout en protégeant un secret lié à un artefact sacré.;D&D character design, a melodious elven sacred singer with sacred robes, singing hymns during ceremonies in a grand cathedral.
Temple/Église;8;Finn "Le Gardien du Temple";Humain;Homme;Un gardien vigilant avec une armure légère, portant un symbole sacré.;Protège le temple et ses trésors sacrés. Cherche à défendre le sanctuaire contre les menaces extérieures, tout en recherchant un ancien texte sacré perdu.;D&D character design, a vigilant human temple guard with light armor, wearing a sacred symbol, guarding the temple and its holy treasures.
