Catégorie;Numéro;Nom;Race;Sexe;Description;Background;Prompt
Château/Palais;16;Oliver "Le Maître des Réjouissances Excentrique";Humain;Homme;Un maître des réjouissances excentrique avec des vêtements colorés, portant un chapeau festif.;Organise les fêtes et les célébrations royales mais ses idées sont souvent trop extravagantes. Cherche à impressionner le roi avec des spectacles grandioses, même si cela dépasse le budget.;D&D character design, an eccentric human master of revels with colorful clothes, wearing a festive hat, planning over-the-top celebrations in the grand banquet hall.
Château/Palais;17;Cassio "La Gouvernante Stricte";Humaine;Femme;Une gouvernante stricte avec des vêtements sobres, portant un trousseau de clés.;Supervise le personnel du palais avec une main de fer. Cherche à maintenir l'ordre, même si cela signifie être impitoyable envers les serviteurs.;D&D character design, a strict human housekeeper with sober clothes, wearing a set of keys, enforcing order among the palace staff with an iron fist.
Château/Palais;18;Benedict "Le Héraut Prétentieux";Humain;Homme;Un héraut prétentieux avec une trompette et des vêtements cérémoniels.;Annonce les proclamations royales avec une arrogance démesurée. Cherche à se faire remarquer par le roi, même si cela signifie exagérer ses propres exploits.;D&D character design, a pretentious human herald with a trumpet and ceremonial attire, announcing royal proclamations with exaggerated flair.
Château/Palais;19;Lydia "Le Chambellan Corrompu";Humaine;Femme;Une chambellane corrompue avec des vêtements formels, portant un registre.;Gère les affaires quotidiennes du palais mais accepte des pots-de-vin. Cherche à enrichir ses propres poches, même si cela signifie trahir ses responsabilités.;D&D character design, a corrupt human chamberlain with formal attire, wearing a ledger, managing palace affairs while accepting bribes.
Château/Palais;20;Felicity "La Chapelaine Douteuse";Halfeline;Femme;Une chapelaine douteuse avec des robes sacrées, portant un symbole divin.;Offre un soutien spirituel mais doute souvent de sa propre foi. Cherche à retrouver sa foi tout en aidant les autres à trouver la leur.;D&D character design, a doubtful halfling chaplain with sacred robes, wearing a divine symbol, questioning her own faith while supporting others.
Guilde/Atelier;11;Adrian "Le Forgeron Perfectionniste";Humain;Homme;Un forgeron perfectionniste avec un tablier de cuir, portant des gants de protection.;Forge des armes et des armures de haute qualité. Cherche à créer l'épée parfaite pour un champion légendaire.;D&D character design, a perfectionist human blacksmith with a leather apron, wearing protective gloves, hammering a glowing piece of metal in a fiery forge.
Guilde/Atelier;12;Freya "L'Alchimiste Ingénieuse";Halfeline;Femme;Une alchimiste ingénieuse avec des lunettes de protection, portant une blouse tachée.;Expérimente avec des potions et des élixirs. Cherche à découvrir une formule magique pour guérir une maladie incurable.;D&D character design, a clever halfling alchemist with protective goggles, wearing a stained lab coat, mixing colorful liquids in a cluttered workshop.
Guilde/Atelier;13;Lyra "La Tailleuse Créative";Elfe;Femme;Une tailleuse créative avec des aiguilles et du fil, portant des vêtements élégants.;Crée des vêtements sur mesure pour la noblesse. Cherche à confectionner la robe parfaite pour le bal royal à venir.;D&D character design, a creative elven seamstress with needles and thread, wearing elegant clothes, crafting custom garments in a well-lit atelier.
Guilde/Atelier;14;Gareth "Le Menuisier Habile";Humain;Homme;Un menuisier habile avec des outils de menuiserie, portant un tablier de travail.;Crée des meubles et des structures en bois. Cherche à construire un meuble unique pour un client exigeant, utilisant un bois rare.;D&D character design, a skilled human carpenter with woodworking tools, wearing a work apron, crafting furniture in a busy workshop.
Guilde/Atelier;15;Mirabelle "La Sculptrice Talentueuse";Elfe;Femme;Une sculptrice talentueuse avec des outils de sculpture, portant des vêtements tachés de pierre.;Crée des statues et des œuvres d'art en pierre. Cherche à sculpter une statue monumentale pour honorer un héros local.;D&D character design, a talented elven sculptor with sculpting tools, wearing stone-stained clothes, crafting statues in a dusty studio.
Guilde/Atelier;16;Oswald "Le Verrier Talentueux";Humain;Homme;Un verrier talentueux avec des outils de verrerie, portant des vêtements protecteurs.;Crée des objets en verre délicats. Cherche à créer une pièce de verre parfaite pour une exposition royale.;D&D character design, a skilled human glassblower with glassworking tools, wearing protective clothes, crafting delicate glass objects in a hot workshop.
Guilde/Atelier;17;Cassandra "La Tisserande Habile";Humaine;Femme;Une tisserande habile avec un métier à tisser, portant des vêtements simples.;Crée des tissus et des tapisseries complexes. Cherche à tisser une tapisserie racontant l'histoire épique d'un héros oublié.;D&D character design, a skilled human weaver with a loom, wearing simple clothes, weaving intricate tapestries in a quiet studio.
Guilde/Atelier;18;Benedict "Le Tanneur Robuste";Humain;Homme;Un tanneur robuste avec des outils de tannage, portant un tablier de cuir.;Traite les peaux pour en faire du cuir. Cherche à créer le cuir le plus fin pour une commande spéciale d'un noble.;D&D character design, a robust human tanner with tanning tools, wearing a leather apron, treating hides in a busy tannery.
Guilde/Atelier;19;Adeline "La Forgeronne Maladroite";Humaine;Femme;Une forgeronne maladroite avec un tablier de cuir, portant des gants de protection.;Forge des armes et des armures mais cause souvent des accidents. Cherche à améliorer ses compétences malgré ses maladresses.;D&D character design, a clumsy human blacksmith with a leather apron, wearing protective gloves, causing accidents while hammering metal in a fiery forge.
Guilde/Atelier;20;Felix "L'Alchimiste Distrait";Halfelin;Homme;Un alchimiste distrait avec des lunettes de protection, portant une blouse tachée.;Expérimente avec des potions et des élixirs mais fait souvent des erreurs. Cherche à se concentrer davantage, mais son esprit vagabonde constamment.;D&D character design, a distracted halfling alchemist with protective goggles, wearing a stained lab coat, making frequent mistakes while mixing liquids in a cluttered workshop.
Militaire;11;Adrian "Le Capitaine Valeureux";Humain;Homme;Un capitaine valeureux avec une armure polie, portant une épée.;Commande une unité de soldats d'élite. Cherche à protéger les frontières du royaume contre les invasions ennemies.;D&D character design, a valiant human captain with polished armor, wearing a sword, leading troops on a fortified border.
Militaire;12;Freya "La Sergente Stricte";Halfeline;Femme;Une sergente stricte avec une armure légère, portant un bouclier.;Entraîne les nouvelles recrues pour le combat. Cherche à maintenir la discipline, même si cela signifie être crainte plutôt que respectée.;D&D character design, a strict halfling sergeant with light armor, wearing a shield, shouting orders at recruits in the training yard.
Militaire;13;Lyra "L'Éclaireuse Agile";Elfe;Femme;Une éclaireuse agile avec un arc long, portant des vêtements de camouflage.;Patrouille les territoires ennemis pour recueillir des informations. Cherche à découvrir les plans de bataille de l'ennemi pour anticiper leurs mouvements.;D&D character design, an agile elven scout with a longbow, wearing camouflage clothes, scouting enemy territories for intelligence.
Militaire;14;Gareth "Le Chevalier Loyal";Humain;Homme;Un chevalier loyal avec une armure de plaques, portant une lance.;Défend le royaume avec honneur et bravoure. Cherche à prouver sa valeur sur le champ de bataille et à gagner le respect de ses pairs.;D&D character design, a loyal human knight with plate armor, wearing a lance, defending the kingdom on the battlefield.
Militaire;15;Mirabelle "La Guérisseuse de Guerre Dévouée";Elfe;Femme;Une guérisseuse de guerre dévouée avec un bâton de soin, portant des robes ornées de symboles sacrés.;Soigne les blessés sur le champ de bataille. Cherche à développer de nouvelles techniques de guérison pour sauver plus de vies.;D&D character design, a devoted war healer with a healing staff, wearing robes adorned with sacred symbols, tending to the wounded on the battlefield.
Militaire;16;Oswald "L'Ingénieur Innovant";Humain;Homme;Un ingénieur innovant avec des outils de construction, portant une armure légère.;Conçoit et construit des fortifications et des engins de siège. Cherche à créer des défenses imprenables pour protéger le royaume.;D&D character design, an innovative human engineer with construction tools, wearing light armor, designing fortifications and siege engines.
Militaire;17;Cassandra "L'Espionne Discrète";Humaine;Femme;Une espionne discrète avec des vêtements sombres, portant des dagues cachées.;Infiltre les lignes ennemies pour recueillir des informations cruciales. Cherche à déjouer un complot visant à renverser le gouvernement.;D&D character design, a discreet human spy with dark clothes, wearing hidden daggers, infiltrating enemy lines to gather intelligence.
Militaire;18;Benedict "Le Stratège Visionnaire";Humain;Homme;Un stratège visionnaire avec une carte de bataille, portant des vêtements formels.;Élabore des plans de bataille pour l'armée. Cherche à anticiper les mouvements de l'ennemi et à mener le royaume vers la victoire.;D&D character design, a visionary human strategist with a battle map, wearing formal attire, planning military strategies in a war room.
Militaire;19;Adeline "Le Lieutenant Courageux";Humaine;Femme;Un lieutenant courageux avec une armure de combat, portant une épée longue.;Mène les troupes au front avec bravoure. Cherche à inspirer ses soldats et à les guider vers la victoire.;D&D character design, a brave human lieutenant with combat armor, wearing a longsword, leading troops on the front lines.
Militaire;20;Felix "Le Chapelain Fervent";Halfelin;Homme;Un chapelain fervent avec des robes sacrées, portant un symbole divin.;Offre un soutien spirituel aux soldats. Cherche à maintenir le moral des troupes et à les guider dans les moments de doute.;D&D character design, a fervent halfling chaplain with sacred robes, wearing a divine symbol, offering spiritual support to soldiers on the battlefield.
Taverne;11;Astrid "La Barmaid Bavarde";Humaine;Femme;Une barmaid bavarde avec un tablier, portant un sourire chaleureux.;Sert des boissons et raconte des histoires aux clients. Cherche à découvrir des secrets locaux pour enrichir ses récits.;D&D character design, a talkative human barmaid with an apron, serving drinks and sharing stories with a warm smile.
Taverne;12;Gerard "Le Cuisinier Créatif";Humain;Homme;Un cuisinier créatif avec un tablier taché, portant un bonnet de cuisine.;Prépare des plats uniques pour les clients. Cherche à créer un plat signature qui rendra la taverne célèbre.;D&D character design, a creative human cook with a stained apron, wearing a chef's hat, preparing unique dishes in a bustling kitchen.
Taverne;13;Nadia "La Musicienne Itinérante";Humaine;Femme;Une musicienne itinérante avec une lyre, portant des vêtements colorés.;Joue de la musique pour divertir les clients. Cherche à collecter des chansons folkloriques oubliées pour les préserver.;D&D character design, a traveling human musician with a lyre, wearing colorful clothes, playing music to entertain patrons.
Taverne;14;Roland "Le Serveur Maladroit";Humain;Homme;Un serveur maladroit avec un plateau, portant des vêtements simples.;Sert les clients mais renverse souvent les boissons. Cherche à prouver à son employeur qu'il peut s'améliorer malgré ses erreurs.;D&D character design, a clumsy human server with a tray, wearing simple clothes, often spilling drinks while serving customers.
Taverne;15;Elara "La Propriétaire Stricte";Humaine;Femme;Une propriétaire stricte avec des vêtements sobres, portant un trousseau de clés.;Gère la taverne avec une main de fer. Cherche à transformer la taverne en un lieu respectable malgré sa réputation.;D&D character design, a strict human tavern owner with sober clothes, wearing a set of keys, enforcing order among patrons.
Taverne;16;Thaddeus "Le Conteur Enjoué";Humain;Homme;Un conteur enjoué avec un chapeau à plumes, portant des vêtements fantaisistes.;Raconte des histoires captivantes aux clients. Cherche à écrire un recueil de contes basés sur ses récits.;D&D character design, a lively human storyteller with a feathered hat, wearing whimsical clothes, sharing captivating tales with patrons.
Taverne;17;Liam "Le Joueur de Cartes";Halfelin;Homme;Un joueur de cartes avec un jeu de cartes, portant des vêtements élégants.;Joue aux cartes avec les clients pour gagner de l'argent. Cherche à rembourser une dette de jeu en utilisant ses gains.;D&D character design, a card player halfling with a deck of cards, wearing elegant clothes, playing card games with patrons to win money.
Taverne;18;Selena "La Serveuse Distraite";Elfe;Femme;Une serveuse distraite avec un plateau, portant des vêtements simples.;Sert les clients mais oublie souvent les commandes. Cherche à se concentrer davantage, mais son esprit vagabonde constamment.;D&D character design, a distracted elven server with a tray, wearing simple clothes, often forgetting orders while serving customers.
Taverne;19;Cedric "Le Brasseur Expérimenté";Humain;Homme;Un brasseur expérimenté avec des outils de brassage, portant des vêtements de travail.;Crée des bières artisanales pour la taverne. Cherche à gagner un concours local de brassage pour faire connaître ses créations.;D&D character design, a skilled human brewer with brewing tools, wearing work clothes, crafting artisanal beers for the tavern.
Taverne;20;Lyra "La Chanteuse Mélancolique";Humaine;Femme;Une chanteuse mélancolique avec une voix douce, portant des vêtements sombres.;Chante des ballades tristes pour les clients. Cherche à enregistrer un album de ses chansons pour les vendre aux voyageurs.;D&D character design, a melancholic human singer with a soft voice, wearing dark clothes, singing sad ballads to touch patrons' hearts.
Lieu Malfamé;11;Darius "Le Chef de Gang";Humain;Homme;Un chef de gang imposant avec une cicatrice, portant des vêtements sombres.;Dirige un groupe de criminels dans les bas-fonds. Cherche à étendre son influence pour protéger son territoire des gangs rivaux.;D&D character design, an imposing human gang leader with a scar, wearing dark clothes, commanding a group of criminals in the underworld.
Lieu Malfamé;12;Sylvia "La Voleuse Agile";Halfeline;Femme;Une voleuse agile avec des vêtements discrets, portant une dague cachée.;Dérobe les bourses des passants sans se faire remarquer. Cherche à économiser assez pour ouvrir une boutique légitime.;D&D character design, an agile halfling thief with discreet clothes, wearing a hidden dagger, pickpocketing passersby unnoticed.
Lieu Malfamé;13;Vivienne "La Courtisane Énigmatique";Humaine;Femme;Une courtisane énigmatique avec des robes élégantes, portant un masque.;Offre ses services aux nobles et riches marchands. Cherche à découvrir des secrets politiques pour influencer les puissants.;D&D character design, an enigmatic human courtesan with elegant robes, wearing a mask, offering her services to nobles and wealthy merchants.
Lieu Malfamé;14;Hugo "Le Faux Mendiant";Humain;Homme;Un faux mendiant avec des vêtements usés, portant un bâton.;Fait semblant d'être pauvre pour tromper les passants. Cherche à collecter des informations sur les mouvements des gardes pour ses complices.;D&D character design, a fake human beggar with worn clothes, wearing a staff, pretending to be poor to deceive passersby.
Lieu Malfamé;15;Clarissa "La Receleuse";Elfe;Femme;Une receleuse avec des vêtements pratiques, portant un sac rempli d'objets volés.;Achète et vend des objets volés. Cherche à financer une expédition pour retrouver un trésor familial perdu.;D&D character design, a fence with practical clothes, wearing a bag full of stolen goods, buying and selling stolen items.
Lieu Malfamé;16;Roderick "Le Tueur à Gages";Humain;Homme;Un tueur à gages avec des vêtements sombres, portant une arbalète.;Effectue des assassinats pour le plus offrant. Cherche à se retirer de cette vie dangereuse après un dernier contrat lucratif.;D&D character design, an assassin with dark clothes, wearing a crossbow, performing hits for the highest bidder.
Lieu Malfamé;17;Eleanor "La Faussaire";Humaine;Femme;Une faussaire avec des outils de gravure, portant des vêtements sobres.;Crée des faux documents et des contrefaçons. Cherche à falsifier des documents pour aider des fugitifs à échapper à la justice.;D&D character design, a forger with engraving tools, wearing sober clothes, creating fake documents and counterfeits.
Lieu Malfamé;18;Theodore "Le Passeur";Humain;Homme;Un passeur avec des vêtements discrets, portant une lanterne.;Aide les fugitifs à traverser les frontières en secret. Cherche à réunir suffisamment d'argent pour quitter la ville et commencer une nouvelle vie.;D&D character design, a smuggler with discreet clothes, wearing a lantern, helping fugitives cross borders secretly.
Lieu Malfamé;19;Genevieve "La Guérisseuse des Ombres";Humaine;Femme;Une guérisseuse des ombres avec des herbes médicinales, portant des vêtements sombres.;Soigne les criminels blessés dans les bas-fonds. Cherche à développer un remède pour une maladie rare qui affecte les pauvres.;D&D character design, a shadow healer with medicinal herbs, wearing dark clothes, treating injured criminals in the underworld.
Lieu Malfamé;20;Orson "Le Pickpocket Malchanceux";Halfelin;Homme;Un pickpocket malchanceux avec des vêtements usés, portant une petite sacoche.;Tente de voler les passants mais échoue souvent. Cherche à prouver sa valeur à un chef de gang local malgré ses échecs.;D&D character design, an unlucky halfling pickpocket with worn clothes, wearing a small pouch, failing to steal from passersby.
Forêt/Nature;11;Brianna "La Botaniste";Humaine;Femme;Une botaniste passionnée avec un carnet de notes, portant des vêtements pratiques.;Étudie les plantes de la forêt pour découvrir de nouvelles espèces. Cherche à publier un livre sur la flore locale pour partager ses découvertes.;D&D character design, a passionate human botanist with a notebook, wearing practical clothes, studying plants in a lush forest.
Forêt/Nature;12;Alaric "Le Bûcheron Bourru";Humain;Homme;Un bûcheron bourru avec une hache, portant des vêtements de travail.;Coupe du bois pour le village. Cherche à enseigner son métier à un apprenti pour préserver les traditions.;D&D character design, a gruff human lumberjack with an axe, wearing work clothes, chopping wood in a dense forest.
Forêt/Nature;13;Seraphina "La Chasseuse de Trésors";Humaine;Femme;Une chasseuse de trésors avec une carte et une boussole, portant des vêtements d'aventurière.;Explore la forêt à la recherche de trésors cachés. Cherche à retrouver un artefact légendaire perdu dans la forêt.;D&D character design, a treasure hunter with a map and compass, wearing adventurer's clothes, exploring the forest for hidden treasures.
Forêt/Nature;14;Lucian "Le Garde Forestier";Humain;Homme;Un garde forestier avec un arc, portant des vêtements de camouflage.;Protège la forêt des braconniers et des intrus. Cherche à capturer un braconnier notoire qui menace l'écosystème local.;D&D character design, a forest ranger with a bow, wearing camouflage clothes, protecting the forest from poachers and intruders.
Forêt/Nature;15;Aeliana "La Naturaliste";Elfe;Femme;Une naturaliste avec des outils de collecte, portant des vêtements pratiques.;Étudie la faune et la flore de la forêt. Cherche à documenter les comportements des animaux pour mieux comprendre leur écosystème.;D&D character design, a naturalist with collecting tools, wearing practical clothes, studying the flora and fauna of the forest.
Forêt/Nature;16;Gabriel "Le Chasseur Solitaire";Humain;Homme;Un chasseur solitaire avec un arc et des flèches, portant des vêtements de camouflage.;Chasse pour subvenir aux besoins de sa famille. Cherche à enseigner à ses enfants l'art de la chasse pour qu'ils puissent survivre.;D&D character design, a solitary human hunter with a bow and arrows, wearing camouflage clothes, hunting to provide for his family.
Forêt/Nature;17;Rowena "L'Herboriste";Humaine;Femme;Une herboriste avec un panier rempli de plantes, portant des vêtements simples.;Collecte des plantes médicinales dans la forêt. Cherche à créer des remèdes pour soigner les malades du village.;D&D character design, a herbalist with a basket full of plants, wearing simple clothes, collecting medicinal herbs in the forest.
Forêt/Nature;18;Thorne "Le Trappeur";Humain;Homme;Un trappeur avec des pièges et des outils, portant des vêtements de travail.;Capture des animaux pour leur fourrure et leur viande. Cherche à trouver un équilibre entre survie et préservation de la nature.;D&D character design, a trapper with traps and tools, wearing work clothes, capturing animals for fur and meat.
Forêt/Nature;19;Lira "La Guide de la Forêt";Humaine;Femme;Une guide de la forêt avec une carte et un bâton de marche, portant des vêtements pratiques.;Guide les voyageurs à travers la forêt. Cherche à cartographier des sentiers sûrs pour les voyageurs inexpérimentés.;D&D character design, a forest guide with a map and walking stick, wearing practical clothes, guiding travelers through the forest.
Forêt/Nature;20;Kaelan "Le Pêcheur de Rivière";Halfelin;Homme;Un pêcheur de rivière avec une canne à pêche, portant des vêtements simples.;Pêche dans les rivières de la forêt. Cherche à attraper un poisson légendaire qui, selon la légende, exauce les vœux.;D&D character design, a river fisherman with a fishing rod, wearing simple clothes, fishing in the forest rivers.
Rue/Place Publique;11;Elowen "La Marchande de Fleurs";Humaine;Femme;Une marchande de fleurs avec un panier rempli de fleurs, portant des vêtements colorés.;Vend des fleurs fraîches sur la place publique. Cherche à cultiver des fleurs rares pour attirer plus de clients.;D&D character design, a flower seller with a basket full of flowers, wearing colorful clothes, selling fresh flowers in the town square.
Rue/Place Publique;12;Bartholomew "Le Crieur Public";Humain;Homme;Un crieur public avec un parchemin, portant des vêtements officiels.;Annonce les nouvelles et les proclamations. Cherche à informer les citoyens des événements importants avec clarté et précision.;D&D character design, a town crier with a scroll, wearing official clothes, announcing news and proclamations in the town square.
Rue/Place Publique;13;Jocelyn "La Jongleuse";Humaine;Femme;Une jongleuse avec des balles colorées, portant des vêtements vifs.;Divertit les passants avec ses talents de jonglage. Cherche à perfectionner ses numéros pour impressionner les spectateurs.;D&D character design, a juggler with colorful balls, wearing bright clothes, entertaining passersby with juggling acts.
Rue/Place Publique;14;Orion "Le Mendiant";Humain;Homme;Un mendiant avec des vêtements usés, portant un bol.;Demande l'aumône aux passants. Cherche à collecter suffisamment d'argent pour acheter des médicaments pour sa famille malade.;D&D character design, a beggar with worn clothes, wearing a bowl, begging for alms from passersby.
Rue/Place Publique;15;Mirabella "La Diseuse de Bonne Aventure";Elfe;Femme;Une diseuse de bonne aventure avec un jeu de tarot, portant des vêtements mystiques.;Prédit l'avenir des passants. Cherche à aider les gens à trouver des réponses à leurs questions existentielles.;D&D character design, a fortune teller with a tarot deck, wearing mystical clothes, predicting the future for passersby.
Rue/Place Publique;16;Oswin "Le Vendeur de Journaux";Humain;Homme;Un vendeur de journaux avec une pile de journaux, portant des vêtements simples.;Vend les dernières nouvelles aux passants. Cherche à informer les citoyens des événements récents et à augmenter ses ventes.;D&D character design, a newspaper seller with a stack of newspapers, wearing simple clothes, selling the latest news to passersby.
Rue/Place Publique;17;Cassiopeia "La Musicienne de Rue";Humaine;Femme;Une musicienne de rue avec une guitare, portant des vêtements décontractés.;Joue de la musique pour divertir les passants. Cherche à collecter des pourboires pour financer ses études musicales.;D&D character design, a street musician with a guitar, wearing casual clothes, playing music to entertain passersby.
Rue/Place Publique;18;Benedictus "Le Magicien de Rue";Humain;Homme;Un magicien de rue avec des accessoires de magie, portant des vêtements flamboyants.;Effectue des tours de magie pour impressionner les passants. Cherche à perfectionner ses tours pour attirer plus de spectateurs.;D&D character design, a street magician with magic props, wearing flamboyant clothes, performing magic tricks to impress passersby.
Rue/Place Publique;19;Adelina "La Vendeuse de Souvenirs";Humaine;Femme;Une vendeuse de souvenirs avec un étal rempli de babioles, portant des vêtements traditionnels.;Vend des souvenirs aux touristes. Cherche à promouvoir l'artisanat local en vendant des objets faits main.;D&D character design, a souvenir seller with a stall full of trinkets, wearing traditional clothes, selling local handmade items to tourists.
Rue/Place Publique;20;Felixian "Le Porteur d'Eau";Halfelin;Homme;Un porteur d'eau avec un seau et une louche, portant des vêtements simples.;Vend de l'eau fraîche aux passants. Cherche à économiser assez pour ouvrir un petit commerce de boissons.;D&D character design, a water carrier with a bucket and ladle, wearing simple clothes, selling fresh water to passersby.
Marché;11;Evelina "La Vendeuse de Fruits";Humaine;Femme;Une vendeuse de fruits avec un étal coloré, portant un tablier.;Vend des fruits frais aux clients. Cherche à offrir les fruits les plus frais et les plus savoureux pour fidéliser sa clientèle.;D&D character design, a fruit seller with a colorful stall, wearing an apron, selling fresh fruits to customers.
Marché;12;Gerhard "Le Boucher";Humain;Homme;Un boucher avec un tablier taché de sang, portant un couteau.;Vend de la viande fraîche aux clients. Cherche à offrir les meilleures coupes de viande pour satisfaire ses clients.;D&D character design, a butcher with a blood-stained apron, wearing a knife, selling fresh meat to customers.
Marché;13;Marguerite "La Vendeuse de Tissus";Humaine;Femme;Une vendeuse de tissus avec des rouleaux de tissus colorés, portant des vêtements élégants.;Vend des tissus de haute qualité aux clients. Cherche à proposer des tissus uniques pour les créations des couturiers locaux.;D&D character design, a fabric seller with rolls of colorful fabrics, wearing elegant clothes, selling high-quality fabrics to customers.
Marché;14;Olivier "Le Vendeur de Potions";Humain;Homme;Un vendeur de potions avec un étal rempli de fioles, portant des vêtements pratiques.;Vend des potions magiques et médicinales aux clients. Cherche à créer des potions uniques pour répondre aux besoins spécifiques des clients.;D&D character design, a potion seller with a stall full of vials, wearing practical clothes, selling magical and medicinal potions to customers.
Marché;15;Mirabella "La Vendeuse de Bijoux";Elfe;Femme;Une vendeuse de bijoux avec un étal scintillant, portant des bijoux élégants.;Vend des bijoux artisanaux aux clients. Cherche à créer des pièces uniques qui captivent l'œil et l'imagination.;D&D character design, a jewelry seller with a sparkling stall, wearing elegant jewelry, selling handcrafted jewelry to customers.
Marché;16;Oswald "Le Vendeur de Légumes";Humain;Homme;Un vendeur de légumes avec un étal rempli de légumes frais, portant un tablier.;Vend des légumes frais aux clients. Cherche à offrir les légumes les plus frais et les plus variés pour attirer les clients.;D&D character design, a vegetable seller with a stall full of fresh vegetables, wearing an apron, selling fresh vegetables to customers.
Marché;17;Cassandra "La Vendeuse de Livres";Humaine;Femme;Une vendeuse de livres avec un étal rempli de livres, portant des lunettes.;Vend des livres anciens et modernes aux clients. Cherche à partager son amour de la lecture en recommandant des livres à ses clients.;D&D character design, a book seller with a stall full of books, wearing glasses, selling ancient and modern books to customers.
Marché;18;Benedictus "Le Vendeur de Fromages";Humain;Homme;Un vendeur de fromages avec un étal rempli de fromages variés, portant un tablier.;Vend des fromages artisanaux aux clients. Cherche à offrir les fromages les plus savoureux et les plus variés pour satisfaire les palais les plus exigeants.;D&D character design, a cheese seller with a stall full of various cheeses, wearing an apron, selling artisanal cheeses to customers.
Marché;19;Adelina "La Vendeuse de Fleurs";Humaine;Femme;Une vendeuse de fleurs avec un étal rempli de fleurs colorées, portant un tablier.;Vend des fleurs fraîches aux clients. Cherche à offrir les fleurs les plus belles et les plus parfumées pour embellir les maisons et les jardins.;D&D character design, a flower seller with a stall full of colorful flowers, wearing an apron, selling fresh flowers to customers.
Marché;20;Felixian "Le Vendeur de Vins";Halfelin;Homme;Un vendeur de vins avec un étal rempli de bouteilles de vin, portant des vêtements élégants.;Vend des vins fins aux clients. Cherche à offrir les vins les plus raffinés et les plus délicieux pour satisfaire les connaisseurs.;D&D character design, a wine seller with a stall full of wine bottles, wearing elegant clothes, selling fine wines to customers.
